script,lines,create_calls,decompiled_sha256,corpus
BDBAN007.BCS,28,0,aca26f456afac371e5b126d9e806f4f210974f07cee14f5b661c0c4c38f777ea,baf
BDBAN008.BCS,44,0,8d61e3ac5b03a1e79e990bcbdc8018e02d4e973495d264e50dfa7817363e884e,baf
BDBAN009.BCS,52,0,95031a997763b845b527f610d7c0ff0c83ab435ab78eb3b7374239cd7397b4cf,baf
BDBAN010.BCS,32,0,d1981ece7a7d6953737e4720be2ba1d1aa7545402c835b4f3e31816016b14113,baf
BDBAN011.BCS,40,0,4fa67fbf908a6f8dd6e12f6996f75c26818f209f522ea12645c468f30fdbef54,baf
BDBAN012.BCS,44,0,0de42cc5aaa1b90a91de30f123e57c41819c3a4136cce5a86f0c30e5c4be8034,baf
BDBAN013.BCS,40,0,ea258d02d635e4ba750dfd7138ec7ed1c9195434681f9223a80b83c536b7bea1,baf
BDBAN014.BCS,55,0,48426a5cbc03dc1206a92b5345c383c0699b32ece3473394f0c457e596a070bd,baf
BDBAN015.BCS,36,0,c32f8d7adfe6b5117767b29d6e630aa53dc352166c3f02478d2a8b26ff6c5de9,baf
BDBAN016.BCS,50,0,12a55618aadf803f398baa89b6c5b6fd3ad34daedf0930159c4bf57a8bd15152,baf
BDBAN017.BCS,52,0,27137810f6303378fe56ad7049a494628f576cc792da8f2c1bbf2925dc36d570,baf
BDBAN018.BCS,50,0,8d355dd2bdcf1a82f5718d1346f0bdc51c5ac12223b2d365bd5b957009618d0c,baf
BDBAN019.BCS,36,0,79a6a125d7f9683eb7381afc708813b02f27d0d240467273d3bec04ccdaa51d1,baf
BDBAN020.BCS,28,0,c4296f1bde03d6beabab3ed9ea0ab2355c04cdde98c69f37a4bce00e4ae1647d,baf
BDBAN021.BCS,40,0,620ff7c8a8c043f70823ec81cf6d8d2d05c00afdcf847bfeb6e56ae423bc134c,baf
BDBAN022.BCS,40,0,1f9a87c95a0670ff1051aab09aa7fb7766a1a7ff6caa8a8b21d4ba12985edffa,baf
BDBAN023.BCS,40,0,5a5c0482fc45c05c62aba59cbfce16170220b2849f831320f272ca61a4324846,baf
BDBAN024.BCS,47,0,f65befb462e984d765151c53966baa9133455419310adc6f9e5101e5a45a40f6,baf
BDBAN025.BCS,36,0,3c2ffab3eb790fced37717d4b0ac915c79cd3e0dec2d924eabe5144f6964e990,baf
BDBAN026.BCS,28,0,9e36f17983d894ab06a4686e10ef54db88216990e7c462a51c83fb9e8953267c,baf
BDBAN027.BCS,40,0,49cf101966f063a02222066d47f43798a0a8c7d35872f90afdf4aa23d98770af,baf
BDBAN028.BCS,32,0,c58cebc36305c4a0efd047f2519474c513a0d2fcea8184c4405d94ffdaad8dab,baf
BDBAN029.BCS,40,0,f0aeddf03c51fd7e5a9e22c904c08ab34446f441557bec594725c783c07ab2ad,baf
